geometry|lat|lon|name|rating|types|zona_estudio|n_types|type_0|type_1|type_2|type_3|type_4|type_5|type_6|type_7|type_8
POINT (-78.4548497 -0.1181623)|-0.1181623|-78.4548497|La Iglesia de Jesucristo de los Santos de los Últimos Días, Capilla La Bota|3.9|['church', 'place_of_worship']|LA BOTA|2|church|place_of_worship|||||||
POINT (-78.465603 -0.1172527)|-0.1172527|-78.465603|IPUIE Iglesia Pentecostal Comité del Pueblo #1|3.9|['church', 'place_of_worship']|LA BOTA|2|church|place_of_worship|||||||
POINT (-78.4590817 -0.1223059)|-0.1223059|-78.4590817|Iglecia CARMEN BAJO|3.8|['church', 'place_of_worship']|LA BOTA|2|church|place_of_worship|||||||
POINT (-78.46497169999999 -0.1202561)|-0.1202561|-78.46497169999999|"Iglesia Adventista del Séptimo Día ""Comité del Pueblo"""|4.4|['church', 'place_of_worship']|LA BOTA|2|church|place_of_worship|||||||
POINT (-78.4658018 -0.1214292)|-0.1214292|-78.4658018|"Iglesia Católica Nuestra Señora de Guadalupe | Quito"|4.4|['church', 'place_of_worship']|LA BOTA|2|church|place_of_worship|||||||
POINT (-78.4677682 -0.1183538)|-0.1183538|-78.4677682|IEAN Jesús Comité del Pueblo||['church', 'place_of_worship']|LA BOTA|2|church|place_of_worship|||||||
POINT (-78.46618889999999 -0.1215633)|-0.1215633|-78.46618889999999|Iglesia Universal del Reino de Dios|3.8|['church', 'place_of_worship']|LA BOTA|2|church|place_of_worship|||||||
POINT (-78.46713749999999 -0.120649)|-0.120649|-78.46713749999999|CorporaciÓn Cristiana Nacional||['church', 'place_of_worship']|LA BOTA|2|church|place_of_worship|||||||
POINT (-78.46010989999999 -0.1249837)|-0.1249837|-78.46010989999999|Carmen Bajo Compassion Centre|4.0|['church', 'place_of_worship']|LA BOTA|2|church|place_of_worship|||||||
POINT (-78.4676384 -0.1210289)|-0.1210289|-78.4676384|Iglesia Del Nazareno «La Gracia de Dios»|5.0|['church', 'place_of_worship']|LA BOTA|2|church|place_of_worship|||||||
POINT (-78.46685459999999 -0.1221051)|-0.1221051|-78.46685459999999|Iglesia De Dios Pentecostal Movimiento Internacional||['church', 'place_of_worship']|LA BOTA|2|church|place_of_worship|||||||
POINT (-78.47181719999999 -0.121116)|-0.121116|-78.47181719999999|DHL Express Corporate Office|4.2|['post_office', 'finance']|LA BOTA|2|post_office|finance|||||||
POINT (-78.44101189999999 -0.1062923)|-0.1062923|-78.44101189999999|Primax Panamericana Norte Atimasa|3.9|['gas_station']|LA BOTA|1|gas_station||||||||
POINT (-78.4695164 -0.1301292)|-0.1301292|-78.4695164|Hostal Capitolio Alegre|4.0|['lodging']|LA BOTA|1|lodging||||||||
POINT (-78.4792274 -0.1158291)|-0.1158291|-78.4792274|Petro Ecuador|4.1|['gas_station']|LA BOTA|1|gas_station||||||||
POINT (-78.4600103 -0.133767)|-0.133767|-78.4600103|ISM ACADEMY QUITO|4.5|['school']|LA BOTA|1|school||||||||
POINT (-78.45617349999999 -0.1173321)|-0.1173321|-78.45617349999999|SPC Computers - Repuestos y Reparacion de Portatiles y PCs|5.0|['electronics_store', 'store']|LA BOTA|2|electronics_store|store|||||||
POINT (-78.4724284 -0.1289394)|-0.1289394|-78.4724284|Gran AKÍ Molineros|4.4|['supermarket', 'grocery_or_supermarket', 'store', 'food']|LA BOTA|4|supermarket|grocery_or_supermarket|store|food|||||
POINT (-78.4711993 -0.1169656)|-0.1169656|-78.4711993|MULTICABLE OF ECUADOR S.A.|4.3|['general_contractor']|LA BOTA|1|general_contractor||||||||
POINT (-78.4670467 -0.1222125)|-0.1222125|-78.4670467|"Instituto Educativo ""Tomas Abel Rivadeneira"""|3.7|['school']|LA BOTA|1|school||||||||
POINT (-78.4480916 -0.1187941)|-0.1187941|-78.4480916|PRIMADECOR S.A.|4.8|[]|LA BOTA|0|||||||||
POINT (-78.4477515 -0.1137369)|-0.1137369|-78.4477515|Fundireciclar|4.0|[]|LA BOTA|0|||||||||
POINT (-78.4598114 -0.1149253)|-0.1149253|-78.4598114|Megacomex|4.5|['store']|LA BOTA|1|store||||||||
POINT (-78.4598408 -0.1149038)|-0.1149038|-78.4598408|DMuestra||[]|LA BOTA|0|||||||||
POINT (-78.4583906 -0.1156698)|-0.1156698|-78.4583906|VirtualComp|4.3|['museum']|LA BOTA|1|museum||||||||
POINT (-78.4566069 -0.1174587)|-0.1174587|-78.4566069|Fleximuebles|4.0|['store']|LA BOTA|1|store||||||||
POINT (-78.4617547 -0.1194597)|-0.1194597|-78.4617547|Cóctel Design (Estudio Diseño Grafico)||[]|LA BOTA|0|||||||||
POINT (-78.4551066 -0.1172881)|-0.1172881|-78.4551066|Libres Para Cristo|3.9|[]|LA BOTA|0|||||||||
POINT (-78.4622839 -0.1113986)|-0.1113986|-78.4622839|Still Alejito Brewer|4.6|[]|LA BOTA|0|||||||||
POINT (-78.4672114 -0.1233883)|-0.1233883|-78.4672114|TÍA COMITÉ DEL PUEBLO|4.0|['supermarket', 'convenience_store', 'grocery_or_supermarket', 'store', 'food']|LA BOTA|5|supermarket|convenience_store|grocery_or_supermarket|store|food||||
POINT (-78.46639569999999 -0.1172846)|-0.1172846|-78.46639569999999|Beatriz||['convenience_store', 'store', 'food']|LA BOTA|3|convenience_store|store|food||||||
POINT (-78.46784090000001 -0.1197323)|-0.1197323|-78.46784090000001|Bodega Jaelita||['convenience_store', 'store', 'food']|LA BOTA|3|convenience_store|store|food||||||
