geometry|lat|lon|name|rating|type|zona_estudio|category|sub_cat
POINT (-78.4792274 -0.1158291)|-0.1158291|-78.4792274|Petro Ecuador|4.1|gas_station|LA BOTA|local_economy|services
POINT (-78.4600103 -0.133767)|-0.133767|-78.4600103|ISM ACADEMY QUITO|4.5|school|LA BOTA|education|education
POINT (-78.45617349999999 -0.1173321)|-0.1173321|-78.45617349999999|SPC Computers - Repuestos y Reparacion de Portatiles y PCs||electronics_store|LA BOTA|local_economy|stores
POINT (-78.4724284 -0.1289394)|-0.1289394|-78.4724284|Gran AKÍ Molineros|4.4|supermarket|LA BOTA|local_economy|stores
POINT (-78.4711993 -0.1169656)|-0.1169656|-78.4711993|MULTICABLE OF ECUADOR S.A.|4.3|general_contractor|LA BOTA|local_economy|services
POINT (-78.4670467 -0.1222125)|-0.1222125|-78.4670467|"Instituto Educativo ""Tomas Abel Rivadeneira"""|3.7|school|LA BOTA|education|education
POINT (-78.4480916 -0.1187941)|-0.1187941|-78.4480916|PRIMADECOR S.A.|4.8||LA BOTA||
POINT (-78.4477515 -0.1137369)|-0.1137369|-78.4477515|Fundireciclar|4.0||LA BOTA||
POINT (-78.4597768 -0.1149429)|-0.1149429|-78.4597768|Megacomex|4.5|store|LA BOTA|local_economy|stores
POINT (-78.45986429999999 -0.1148955)|-0.1148955|-78.45986429999999|DMuestra|||LA BOTA||
POINT (-78.4583906 -0.1156698)|-0.1156698|-78.4583906|VirtualComp|4.3|museum|LA BOTA|local_economy|entertainment
POINT (-78.4566069 -0.1174587)|-0.1174587|-78.4566069|Fleximuebles|4.0|store|LA BOTA|local_economy|stores
POINT (-78.4617547 -0.1194597)|-0.1194597|-78.4617547|Cóctel Design (Estudio Diseño Grafico)|||LA BOTA||
POINT (-78.4551066 -0.1172881)|-0.1172881|-78.4551066|Libres Para Cristo|3.9||LA BOTA||
POINT (-78.4622839 -0.1113986)|-0.1113986|-78.4622839|Still Alejito Brewer|4.6||LA BOTA||
POINT (-78.51202529999999 -0.2226085)|-0.2226085|-78.51202529999999|Hotel Boutique Plaza Sucre|4.3|hair_care|TOCTIUCO|local_economy|services
POINT (-78.51388349999999 -0.2200254)|-0.2200254|-78.51388349999999|San Francisco|4.4|restaurant|TOCTIUCO|local_economy|food and drinks
POINT (-78.5130368 -0.219087)|-0.219087|-78.5130368|Pollos Gus|3.9|restaurant|TOCTIUCO|local_economy|food and drinks
POINT (-78.513858 -0.2214972)|-0.2214972|-78.513858|San Ignacio|4.4|restaurant|TOCTIUCO|local_economy|food and drinks
POINT (-78.5121094 -0.2206255)|-0.2206255|-78.5121094|Fabiolita|4.4|restaurant|TOCTIUCO|local_economy|food and drinks
POINT (-78.5118597 -0.2196251)|-0.2196251|-78.5118597|Café del Fraile|4.4|restaurant|TOCTIUCO|local_economy|food and drinks
POINT (-78.5110468 -0.220097)|-0.220097|-78.5110468|Da Rocco|4.1|restaurant|TOCTIUCO|local_economy|food and drinks
POINT (-78.5098048 -0.2190947)|-0.2190947|-78.5098048|En-Dulce|4.6|bakery|TOCTIUCO|local_economy|food and drinks
POINT (-78.5110224 -0.2209624)|-0.2209624|-78.5110224|Oasis|4.5|restaurant|TOCTIUCO|local_economy|food and drinks
POINT (-78.50975629999999 -0.2191318)|-0.2191318|-78.50975629999999|Cebiches de la Rumiñahui|4.2|restaurant|TOCTIUCO|local_economy|food and drinks
POINT (-78.5139253 -0.224368)|-0.224368|-78.5139253|Leña Quiteña|4.1|restaurant|TOCTIUCO|local_economy|food and drinks
POINT (-78.5080949 -0.2183507)|-0.2183507|-78.5080949|Las Menestras Del Negro|4.1|restaurant|TOCTIUCO|local_economy|food and drinks
POINT (-78.5093354 -0.2235415)|-0.2235415|-78.5093354|La Purisima|4.3|restaurant|TOCTIUCO|local_economy|food and drinks
